0 None
103	root:Environmental:Aquatic:Freshwater:Ice
104	root:Environmental:Aquatic:Freshwater:Ice:Glacial lake
105	root:Environmental:Aquatic:Freshwater:Ice:Glacier
106	root:Environmental:Aquatic:Freshwater:Ice:Ice accretions
107	root:Environmental:Aquatic:Freshwater:Lake
108	root:Environmental:Aquatic:Freshwater:Lentic
109	root:Environmental:Aquatic:Freshwater:Lentic:Epilimnion
110	root:Environmental:Aquatic:Freshwater:Lentic:Hypolimnion
111	root:Environmental:Aquatic:Freshwater:Lentic:Limnetic zone
112	root:Environmental:Aquatic:Freshwater:Lentic:Littoral zone
113	root:Environmental:Aquatic:Freshwater:Lentic:Sediment
114	root:Environmental:Aquatic:Freshwater:Lotic
115	root:Environmental:Aquatic:Freshwater:Lotic:Acidic
116	root:Environmental:Aquatic:Freshwater:Lotic:Low land river systems
117	root:Environmental:Aquatic:Freshwater:Lotic:Microbial mats
118	root:Environmental:Aquatic:Freshwater:Lotic:Mid stream
119	root:Environmental:Aquatic:Freshwater:Lotic:Sediment
120	root:Environmental:Aquatic:Freshwater:Microbialites
121	root:Environmental:Aquatic:Freshwater:Pond
122	root:Environmental:Aquatic:Freshwater:Pond:Sediment
123	root:Environmental:Aquatic:Freshwater:Sediment
124	root:Environmental:Aquatic:Freshwater:Storm water
125	root:Environmental:Aquatic:Freshwater:Storm water:Drainage pipe biofilm
126	root:Environmental:Aquatic:Freshwater:Subglacial lake
127	root:Environmental:Aquatic:Freshwater:Wetlands
128	root:Environmental:Aquatic:Freshwater:Wetlands:Bog
129	root:Environmental:Aquatic:Freshwater:Wetlands:Marsh
130	root:Environmental:Aquatic:Freshwater:Wetlands:Sediment
131	root:Environmental:Aquatic:Freshwater:Wetlands:Swamp
132	root:Environmental:Aquatic:Lentic
133	root:Environmental:Aquatic:Lentic:Brackish
134	root:Environmental:Aquatic:Marine
135	root:Environmental:Aquatic:Marine:Brackish
136	root:Environmental:Aquatic:Marine:Coastal
137	root:Environmental:Aquatic:Marine:Coastal:Sediment
138	root:Environmental:Aquatic:Marine:Cold seeps
139	root:Environmental:Aquatic:Marine:Cold seeps:Sediment
140	root:Environmental:Aquatic:Marine:Fossil
141	root:Environmental:Aquatic:Marine:Fossil:Whale fall
142	root:Environmental:Aquatic:Marine:Hydrothermal vents
143	root:Environmental:Aquatic:Marine:Hydrothermal vents:Black smokers
144	root:Environmental:Aquatic:Marine:Hydrothermal vents:Diffuse flow
145	root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
146	root:Environmental:Aquatic:Marine:Hydrothermal vents:Sediment
147	root:Environmental:Aquatic:Marine:Intertidal zone
148	root:Environmental:Aquatic:Marine:Intertidal zone:Beach
149	root:Environmental:Aquatic:Marine:Intertidal zone:Coral reef
150	root:Environmental:Aquatic:Marine:Intertidal zone:Estuary
151	root:Environmental:Aquatic:Marine:Intertidal zone:Mangrove swamp
152	root:Environmental:Aquatic:Marine:Intertidal zone:Microbialites
153	root:Environmental:Aquatic:Marine:Intertidal zone:Oil-contaminated
154	root:Environmental:Aquatic:Marine:Intertidal zone:Salt marsh
155	root:Environmental:Aquatic:Marine:Intertidal zone:Sediment
156	root:Environmental:Aquatic:Marine:Marginal Sea
157	root:Environmental:Aquatic:Marine:Neritic zone
158	root:Environmental:Aquatic:Marine:Neritic zone:Oil-contaminated sediment
159	root:Environmental:Aquatic:Marine:Neritic zone:Sediment
160	root:Environmental:Aquatic:Marine:Oceanic
161	root:Environmental:Aquatic:Marine:Oceanic:Abyssal plane
162	root:Environmental:Aquatic:Marine:Oceanic:Aphotic zone
163	root:Environmental:Aquatic:Marine:Oceanic:Benthic
164	root:Environmental:Aquatic:Marine:Oceanic:Oil-contaminated
165	root:Environmental:Aquatic:Marine:Oceanic:Oil-contaminated sediments
166	root:Environmental:Aquatic:Marine:Oceanic:Photic zone
167	root:Environmental:Aquatic:Marine:Oceanic:Sediment
168	root:Environmental:Aquatic:Marine:Oil field
169	root:Environmental:Aquatic:Marine:Oil field:bore hole
170	root:Environmental:Aquatic:Marine:Oil seeps
171	root:Environmental:Aquatic:Marine:Pelagic
172	root:Environmental:Aquatic:Marine:Oil-contaminated sediment
173	root:Environmental:Aquatic:Marine:Sediment
174	root:Environmental:Aquatic:Marine:Volcanic
175	root:Environmental:Aquatic:Marine:Wetlands
176	root:Environmental:Aquatic:Marine:Wetlands:Sediment
177	root:Environmental:Aquatic:Meromictic lake
178	root:Environmental:Aquatic:Non-marine Saline and Alkaline
179	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Alkaline
180	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Alkaline:Carbonate
181	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Alkaline:Microbial mats
182	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Alkaline:Sediment
183	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Hypersaline
184	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Hypersaline:Microbial mats
185	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Hypersaline:Sediment
186	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Near-boiling (>90C)
187	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Near-boiling (>90C):Alkaline
188	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline
189	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Athalassic
190	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Epilimnion
191	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Hypolimnion
192	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Microbial mats
193	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Sediment
194	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Saline:Thalassic
195	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Salt crystallizer pond
196	root:Environmental:Aquatic:Non-marine Saline and Alkaline:Salt crystallizer pond:Microbial mats
197	root:Environmental:Aquatic:Sediment
198	root:Environmental:Aquatic:Thermal springs
199	root:Environmental:Aquatic:Thermal springs:Hot (42-90C)
200	root:Environmental:Aquatic:Thermal springs:Hot (42-90C):Acidic
201	root:Environmental:Aquatic:Thermal springs:Hot (42-90C):Alkaline
202	root:Environmental:Aquatic:Thermal springs:Hot (42-90C):Neutral
203	root:Environmental:Aquatic:Thermal springs:Hot (42-90C):Sediment
204	root:Environmental:Aquatic:Thermal springs:Near-boiling (>90C)
205	root:Environmental:Aquatic:Thermal springs:Near-boiling (>90C):Alkaline
206	root:Environmental:Aquatic:Thermal springs:Sediment
207	root:Environmental:Aquatic:Thermal springs:Tepid (25-34C)
208	root:Environmental:Aquatic:Thermal springs:Tepid (25-34C):Sediment
209	root:Environmental:Aquatic:Thermal springs:Warm (34-42C)
210	root:Environmental:Aquatic:Thermal springs:Warm (34-42C):Neutral
211	root:Environmental:Aquatic:Thermal springs:Warm (34-42C):Sediment
212	root:Environmental:Terrestrial
213	root:Environmental:Terrestrial:Agricultural field
214	root:Environmental:Terrestrial:Asphalt lakes
215	root:Environmental:Terrestrial:Asphalt lakes:Tar
216	root:Environmental:Terrestrial:Deep subsurface
217	root:Environmental:Terrestrial:Deep subsurface:Clay
218	root:Environmental:Terrestrial:Geologic
219	root:Environmental:Terrestrial:Geologic:Mine
220	root:Environmental:Terrestrial:Oil reservoir
221	root:Environmental:Terrestrial:Rock-dwelling (subaerial biofilm)
222	root:Environmental:Terrestrial:Soil
223	root:Environmental:Terrestrial:Soil:Clay
224	root:Environmental:Terrestrial:Soil:Clay:Agricultural land
225	root:Environmental:Terrestrial:Soil:Clay:Contaminated
226	root:Environmental:Terrestrial:Soil:Clay:Grasslands
227	root:Environmental:Terrestrial:Soil:Clay:Oil-contaminated
228	root:Environmental:Terrestrial:Soil:Crop
229	root:Environmental:Terrestrial:Soil:Crop:Agricultural land
230	root:Environmental:Terrestrial:Soil:Loam
231	root:Environmental:Terrestrial:Soil:Loam:Agricultural
232	root:Environmental:Terrestrial:Soil:Loam:Contaminated
233	root:Environmental:Terrestrial:Soil:Loam:Forest soil
234	root:Environmental:Terrestrial:Soil:Loam:Grasslands
235	root:Environmental:Terrestrial:Soil:Sand
236	root:Environmental:Terrestrial:Soil:Sand:Desert
237	root:Environmental:Terrestrial:Soil:Sand:Forest soil
238	root:Environmental:Terrestrial:Soil:Sand:Grasslands
239	root:Environmental:Terrestrial:Soil:Sand:Oil-contaminated
240	root:Environmental:Terrestrial:Soil:Silt
241	root:Environmental:Terrestrial:Soil:Agricultural
242	root:Environmental:Terrestrial:Soil:Boreal forest
243	root:Environmental:Terrestrial:Soil:Contaminated
244	root:Environmental:Terrestrial:Soil:Desert
245	root:Environmental:Terrestrial:Soil:Forest soil
246	root:Environmental:Terrestrial:Soil:Grasslands
247	root:Environmental:Terrestrial:Soil:Mine
248	root:Environmental:Terrestrial:Soil:Mine drainage
249	root:Environmental:Terrestrial:Soil:Oil-contaminated
250	root:Environmental:Terrestrial:Soil:Permafrost
251	root:Environmental:Terrestrial:Soil:Shrubland
252	root:Environmental:Terrestrial:Soil:Tropical rainforest
253	root:Environmental:Terrestrial:Soil:Uranium contaminated
254	root:Environmental:Terrestrial:Soil:Viriome
255	root:Environmental:Terrestrial:Soil:Wetlands
256	root:Environmental:Terrestrial:Soil:Wetlands:Permafrost
257	root:Environmental:Terrestrial:Volcanic
258	root:Environmental:Terrestrial:Volcanic:Fumaroles
259	root:Host-associated
260	root:Host-associated:Algae
261	root:Host-associated:Algae:Brown Algae
262	root:Host-associated:Algae:Green algae
263	root:Host-associated:Algae:Green algae:Ectosymbionts
264	root:Host-associated:Algae:Red algae
265	root:Host-associated:Algae:Red algae:Ectosymbionts
266	root:Host-associated:Amphibia
267	root:Host-associated:Amphibia:Digestive system
268	root:Host-associated:Amphibia:Excretory system
269	root:Host-associated:Animal
270	root:Host-associated:Animal:Circulatory system
271	root:Host-associated:Animal:Digestive system
272	root:Host-associated:Animal:Digestive system:Fecal
273	root:Host-associated:Animal:Fossil
274	root:Host-associated:Animal:Fossil:Bone
275	root:Host-associated:Animal:Fossil:Feces
276	root:Host-associated:Animal:Reproductive system
277	root:Host-associated:Animal:Respiratory system
278	root:Host-associated:Animal:Skin
279	root:Host-associated:Annelida
280	root:Host-associated:Annelida:Digestive system
281	root:Host-associated:Annelida:Digestive system:Digestive tube
282	root:Host-associated:Annelida:Digestive system:Digestive tube:Extracellular symbionts
283	root:Host-associated:Annelida:Integument
284	root:Host-associated:Annelida:Integument:Cuticle
285	root:Host-associated:Annelida:Integument:Cuticle:Epibionts
286	root:Host-associated:Annelida:Integument:Subcuticular space
287	root:Host-associated:Annelida:Integument:Subcuticular space:Extracellular symbionts
288	root:Host-associated:Annelida:Intracellular endosymbionts
289	root:Host-associated:Annelida:Intracellular endosymbionts:Trophosome
290	root:Host-associated:Annelida:Reproductive system
291	root:Host-associated:Annelida:Reproductive system:Egg capsule
292	root:Host-associated:Annelida:Reproductive system:Egg capsule:Extracellular
293	root:Host-associated:Arthropoda
294	root:Host-associated:Arthropoda:Digestive system
295	root:Host-associated:Arthropoda:Digestive system:Foregut
296	root:Host-associated:Arthropoda:Digestive system:Gut
297	root:Host-associated:Arthropoda:Digestive system:Gut:P3 segment
